entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
104,2012-05-31,recovery,"NFLX,APH,ORLY","0.200,0.400,0.400",4.083872610507465,4.560313518425147,exited,2012-11-30,4.560313518425147,11.666399845378095
105,2012-06-29,recovery,"NFLX,ORLY,MNST","0.200,0.400,0.400",277.9173354018636,276.02117011944506,exited,2012-12-31,276.02117011944506,-0.6822767207654512
106,2012-07-31,recovery,"MU,CBRE,PHM","0.396,0.304,0.300",8.209241272861794,11.921550017898138,exited,2013-01-31,11.921550017898138,45.22109439405244
107,2012-08-31,recovery,"LRCX,NFLX,PHM","0.400,0.213,0.387",11.21734980292688,19.15758548543459,exited,2013-02-28,19.15758548543459,70.78530866921804
108,2012-09-28,recovery,"LYB,DHI,PHM","0.262,0.400,0.338",2.353729391762855,2.9682752178624856,exited,2013-03-28,2.9682752178624856,26.109451165044884
109,2012-10-31,recovery,"AMD,STZ,PHM","0.288,0.312,0.400",38.587826161901276,50.73326689214022,exited,2013-04-30,50.73326689214022,31.474799018946655
110,2012-11-30,recovery,"VLO,AMD,PHM","0.373,0.227,0.400",5.560313518425147,8.027079470492131,exited,2013-05-31,8.027079470492131,44.36379250725504
111,2012-12-31,recovery,"AMD,NFLX,PHM","0.373,0.227,0.400",277.02117011944506,434.26463424484905,exited,2013-06-28,434.26463424484905,56.76225541087862
112,2013-01-31,recovery,"MKC,NFLX,BBBY","0.400,0.223,0.377",12.921550017898138,22.561435973730887,exited,2013-07-31,22.561435973730887,74.60317022710257
113,2013-02-28,recovery,"OKE,HRL,BBBY","0.400,0.400,0.200",20.15758548543459,28.08645667873231,exited,2013-08-30,28.08645667873231,39.33442921041779
114,2013-03-28,recovery,"KDP,NFLX,PHM","0.400,0.200,0.400",3.9682752178624856,4.134743100220909,exited,2013-09-30,4.134743100220909,4.194968171791569
115,2013-04-30,recovery,"HRL,NFLX,STZ","0.400,0.216,0.384",51.73326689214022,64.86495355727618,exited,2013-10-31,64.86495355727618,25.38344754549233
116,2013-05-31,recovery,"NVDA,GME,FSLR","0.400,0.393,0.207",9.027079470492131,11.167772425817233,exited,2013-11-29,11.167772425817233,23.714125507841555
117,2013-06-28,recovery,"CSX,NFLX,BBBY","0.400,0.288,0.312",435.26463424484905,584.8412900506762,exited,2013-12-31,584.8412900506762,34.36453229546923
118,2013-07-31,recovery,"AMD,CSX,NFLX","0.336,0.400,0.264",23.561435973730887,27.933195983353112,exited,2014-01-31,27.933195983353112,18.554726522171183
119,2013-08-30,recovery,"AMD,ABT,NFLX","0.340,0.400,0.260",29.08645667873231,37.07560140831102,exited,2014-02-28,37.07560140831102,27.466888861097626
120,2013-09-30,recovery,"MNST,CSX,NFLX","0.400,0.400,0.200",5.134743100220909,6.230132681185266,exited,2014-03-31,6.230132681185266,21.332899418419405
121,2013-10-31,recovery,"MNST,ORLY,NFLX","0.400,0.400,0.200",65.86495355727618,75.56620390630597,exited,2014-04-30,75.56620390630597,14.729002033826056
122,2013-11-29,recovery,"ORLY,D,NFLX","0.400,0.400,0.200",12.167772425817233,13.834668380719554,exited,2014-05-30,13.834668380719554,13.699269649106416
123,2013-12-31,recovery,"MNST,NEE,NFLX","0.400,0.400,0.200",585.8412900506762,669.9962910365705,exited,2014-06-30,669.9962910365705,14.364812179526432
124,2014-01-31,recovery,"NFLX,NVDA,MU","0.218,0.400,0.382",28.933195983353112,34.154431083525814,exited,2014-07-31,34.154431083525814,18.045829099477185
125,2014-02-28,recovery,"NVDA,NFLX,MU","0.400,0.375,0.225",38.07560140831102,43.07128566055295,exited,2014-08-29,43.07128566055295,13.120434260958213
126,2014-03-31,recovery,"DAL,NFLX,MU","0.365,0.400,0.235",7.230132681185266,8.923421025033168,exited,2014-09-30,8.923421025033168,23.419879254142728
127,2014-04-30,recovery,"ORLY,NFLX,MU","0.400,0.320,0.280",76.56620390630597,93.15188266779292,exited,2014-10-31,93.15188266779292,21.661879413249796
128,2014-05-30,recovery,"KDP,AVGO,MU","0.400,0.364,0.236",14.834668380719554,19.28929538117297,exited,2014-11-30,19.28929538117297,30.02849060140125
129,2014-06-30,recovery,"NFLX,NVDA,MU","0.265,0.400,0.335",670.9962910365705,668.8605149324239,exited,2014-12-31,668.8605149324239,-0.3182992413932939
130,2014-07-31,recovery,"NVDA,NFLX,MU","0.400,0.261,0.339",35.154431083525814,36.53255952551753,exited,2015-01-31,36.53255952551753,3.9202126147833916
131,2014-08-29,recovery,"NFLX,MNST,LUV","0.226,0.374,0.400",44.07128566055295,59.993714441804926,exited,2015-02-28,59.993714441804926,36.12880482745644
132,2014-09-30,recovery,"LUV,NFLX,URI","0.400,0.200,0.400",9.923421025033168,10.426889369798126,exited,2015-03-31,10.426889369798126,5.073536066794815
133,2014-10-31,recovery,"MU,GME,LUV","0.364,0.236,0.400",94.15188266779292,95.20579829469943,exited,2015-04-30,95.20579829469943,1.119378176031982
134,2014-11-30,recovery,"COL,NVDA,LUV","0.200,0.400,0.400",20.28929538117297,19.951528004188827,exited,2015-05-29,19.951528004188827,-1.6647565656595753
135,2014-12-31,recovery,"BBBY,GNW,EW","0.275,0.325,0.400",669.8605149324239,665.2708912013564,exited,2015-06-30,665.2708912013564,-0.685161108731791
136,2015-01-31,recovery,"CSX,AMAT,VRTX","0.400,0.359,0.241",37.53255952551753,36.766440765474066,exited,2015-07-31,36.766440765474066,-2.0412110704109976
137,2015-02-28,recovery,"NVDA,COL,LUV","0.400,0.200,0.400",60.993714441804926,55.97572923904896,exited,2015-08-31,55.97572923904896,-8.227052981899806
138,2015-03-31,recovery,"COL,NVDA,SWKS","0.200,0.400,0.400",11.426889369798126,10.875947695129813,exited,2015-09-30,10.875947695129813,-4.82144927493986
139,2015-04-30,recovery,"NVDA,AVGO,MNST","0.400,0.362,0.238",96.20579829469943,109.17657487896047,exited,2015-10-30,109.17657487896047,13.482323117915108
140,2015-05-29,recovery,"NFLX,NVDA,SWKS","0.200,0.400,0.400",20.951528004188827,24.283075164550926,exited,2015-11-30,24.283075164550926,15.901213313396646
141,2015-06-30,recovery,"NFLX,NVDA,SWKS","0.200,0.400,0.400",666.2708912013564,799.8427718344022,exited,2015-12-31,799.8427718344022,20.0476836669544
142,2015-07-31,recovery,"NFLX,COL,EA","0.368,0.232,0.400",37.766440765474066,30.239920894468554,exited,2016-01-29,30.239920894468554,-19.929121512256
143,2015-08-31,normal,"COL,TGNA,NFLX","0.309,0.400,0.291",56.97572923904896,46.09200874715026,exited,2016-02-29,46.09200874715026,-19.10238032449687
144,2015-09-30,normal,"NFLX,GME,AMZN","0.229,0.400,0.371",11.875947695129813,11.529143755140268,exited,2016-03-31,11.529143755140268,-2.9202211805948397
145,2015-10-30,recovery,"NVDA,GNW,NFLX","0.400,0.310,0.290",110.17657487896047,107.07216500509269,exited,2016-04-29,107.07216500509269,-2.8176678003271283
146,2015-11-30,recovery,"NVDA,COL,NFLX","0.400,0.304,0.296",25.283075164550926,24.480131801818914,exited,2016-05-31,24.480131801818914,-3.1758136915947976
147,2015-12-31,normal,"NVDA,M,NFLX","0.382,0.386,0.232",800.8427718344022,889.4910149494793,exited,2016-06-30,889.4910149494793,11.069369198653112
148,2016-01-29,normal,"NVDA,FCX,AMZN","0.400,0.200,0.400",31.239920894468554,58.21068886754458,exited,2016-07-29,58.21068886754458,86.3343030354842
149,2016-02-29,normal,"NVDA,MU,AMZN","0.381,0.291,0.328",47.09200874715026,77.94163014182861,exited,2016-08-31,77.94163014182861,65.50924926629975
150,2016-03-31,recovery,"COL,NVDA,TSN","0.257,0.349,0.394",12.529143755140268,16.232270138231893,exited,2016-09-30,16.232270138231893,29.556101003090184
151,2016-04-29,recovery,"NVDA,COL,HRL","0.329,0.271,0.400",108.07216500509269,126.58079740946471,exited,2016-10-31,126.58079740946471,17.1261789781854
152,2016-05-31,recovery,"NVDA,COL,EW","0.363,0.237,0.400",25.480131801818914,31.69768834989945,exited,2016-11-30,31.69768834989945,24.40158707356723
153,2016-06-30,recovery,"COL,NVDA,AMZN","0.259,0.356,0.385",890.4910149494793,1234.1561117669096,exited,2016-12-30,1234.1561117669096,38.592764109689256
154,2016-07-29,recovery,"NVDA,COL,NEM","0.400,0.311,0.289",59.21068886754458,71.78487582106715,exited,2017-01-31,71.78487582106715,21.236346332080778
155,2016-08-31,recovery,"NVDA,AVGO,NEM","0.336,0.400,0.264",78.94163014182861,100.66373502345122,exited,2017-02-28,100.66373502345122,27.516666228701013
156,2016-09-30,recovery,"NVDA,MNST,NEM","0.348,0.400,0.252",17.232270138231893,19.698452208700473,exited,2017-03-31,19.698452208700473,14.311417188133868
157,2016-10-31,recovery,"NVDA,COL,NEM","0.400,0.285,0.315",127.58079740946471,142.56700353019383,exited,2017-04-28,142.56700353019383,11.746443371592651
158,2016-11-30,recovery,"NVDA,LKQ,OKE","0.331,0.400,0.269",32.69768834989945,37.632124621727314,exited,2017-05-31,37.632124621727314,15.091086008968691
159,2016-12-30,recovery,"NVDA,COL,FCX","0.400,0.365,0.235",1235.1561117669096,1294.346089829232,exited,2017-06-30,1294.346089829232,4.7921050220647965
160,2017-01-31,recovery,"NVDA,NAVI,OKE","0.329,0.272,0.398",72.78487582106715,85.63458190279822,exited,2017-07-31,85.63458190279822,17.65436285598745
161,2017-02-28,recovery,"NVDA,COL,MU","0.386,0.214,0.400",101.66373502345122,137.29555058505593,exited,2017-08-31,137.29555058505593,35.04869809611595
162,2017-03-31,recovery,"NVDA,KDP,AMD","0.341,0.400,0.259",20.698452208700473,23.86104492586456,exited,2017-09-29,23.86104492586456,15.279368163744689
