date,regime,action,ret_m,equity,picks,n_picks,months_held,year
2021-09-30,bull,hold_min,-0.06635376832668793,142.7051511291003,"ZTS,DHR,CDW",3,3,2021
2021-10-29,bull,hold,0.05987546003183826,151.2496877018682,"ZTS,DHR,CDW",3,4,2021
2021-11-30,bull,hold,0.02547373756019384,155.10258255244688,"ZTS,DHR,CDW",3,5,2021
2021-12-31,bull,hold,0.07036199079025574,166.01590903754703,"ZTS,DHR,CDW",3,6,2021
2022-01-31,bull,hold,-0.1338863367592798,143.78864713274805,"ZTS,DHR,CDW",3,7,2022
2022-02-28,normal,tactical_reb,-0.050884340260175055,136.47205668649505,"F,NVDA,FCX",3,1,2022
2022-03-31,normal,hold_min,0.03869258693756063,141.75251360438497,"F,NVDA,FCX",3,2,2022
2022-04-29,crash,hold,-0.2116820103896362,111.7460565468245,,0,0,2022
2022-05-31,normal,init,-0.001,111.63431049027768,"UA,UAA,NCLH",3,1,2022
2022-06-30,crash,hold,-0.24103844767694946,84.72614958221456,,0,0,2022
2022-07-29,normal,init,-0.001,84.64142343263235,"CCL,NFLX,WBD",3,1,2022
2022-08-31,normal,hold_min,-0.03301411513093109,81.84706173458153,"CCL,NFLX,WBD",3,2,2022
2022-09-30,crash,hold,-0.11973320684721708,72.04725056207793,,0,0,2022
2022-10-31,normal,init,-0.001,71.97520331151586,"NVDA,WBD,CCL",3,1,2022
2022-11-30,recovery,hold_min,0.05509437843144509,75.9406324004407,"NVDA,WBD,CCL",3,2,2022
2022-12-30,normal,hold_min,-0.16667777343811196,63.283016878453104,"NVDA,WBD,CCL",3,3,2022
2023-01-31,recovery,hold,0.42531821544046783,90.19843668488578,"NVDA,WBD,CCL",3,4,2023
2023-02-28,recovery,hold,0.06516267509901344,96.07600810902193,"NVDA,WBD,CCL",3,5,2023
2023-03-31,recovery,hold,0.025125281647919436,98.4899448723689,"NVDA,WBD,CCL",3,6,2023
2023-04-28,recovery,hold,-0.07014089179112984,91.58177230656173,"NVDA,WBD,CCL",3,7,2023
2023-05-31,recovery,hold,0.10910015233632817,101.57335761643854,"NVDA,WBD,CCL",3,8,2023
2023-06-30,recovery,hold,0.30970623954160414,133.0312602414403,"NVDA,WBD,CCL",3,9,2023
2023-07-31,recovery,hold,0.044652570896562854,138.9714480208303,"NVDA,WBD,CCL",3,10,2023
