entry_idx,entry_date,regime,picks,weights,initial_capital,nav,status,exit_date,exit_nav,return_pct
124,2014-01-31,recovery,"NFLX,NVDA,SLM,DAL","0.084,0.400,0.300,0.216",15.413636209865547,17.410556484078516,exited,2014-07-31,17.410556484078516,12.955543046583863
125,2014-02-28,recovery,"NVDA,NFLX,SLM,ORLY","0.376,0.170,0.159,0.295",22.550227209957164,23.75312756085858,exited,2014-08-29,23.75312756085858,5.3343158793995205
126,2014-03-31,recovery,"DAL,NFLX,SLM,NVDA","0.215,0.240,0.238,0.308",7.3669495157750875,7.982942412255284,exited,2014-09-30,7.982942412255284,8.361573472997886
127,2014-04-30,recovery,"ORLY,NFLX,NVDA,SLM","0.314,0.154,0.290,0.241",86.57716719385596,96.85485612758457,exited,2014-10-31,96.85485612758457,11.871131000065782
128,2014-05-30,recovery,"KDP,AVGO,NVDA,WEC","0.314,0.171,0.229,0.287",11.581064067914339,13.957594915545126,exited,2014-11-30,13.957594915545126,20.520833264492786
129,2014-06-30,recovery,"NFLX,NVDA,MU,HRB","0.150,0.364,0.190,0.295",839.5457601440974,852.326033934816,exited,2014-12-31,852.326033934816,1.522284358689996
130,2014-07-31,recovery,"NVDA,NFLX,MU,AVGO","0.355,0.152,0.197,0.296",18.410556484078516,21.75050607330287,exited,2015-01-31,21.75050607330287,18.141491769207228
131,2014-08-29,recovery,"NFLX,MNST,NVDA,DAL","0.156,0.258,0.337,0.248",24.75312756085858,30.5051294666967,exited,2015-02-28,30.5051294666967,23.237475311740408
132,2014-09-30,recovery,"LUV,NFLX,DAL,MU","0.372,0.154,0.272,0.202",8.982942412255284,10.340306571647714,exited,2015-03-31,10.340306571647714,15.110462664667645
133,2014-10-31,recovery,"MU,GME,UAA,DAL","0.293,0.190,0.219,0.298",97.85485612758457,100.00670355185304,exited,2015-04-30,100.00670355185304,2.1990195575606997
134,2014-11-30,recovery,"COL,NVDA,AVGO,GME","0.068,0.369,0.326,0.237",14.957594915545126,18.7540373199018,exited,2015-05-29,18.7540373199018,25.381369302969347
135,2014-12-31,recovery,"BBBY,GNW,CSX,UAA","0.156,0.185,0.400,0.259",853.326033934816,857.5724007422609,exited,2015-06-30,857.5724007422609,0.49762536692619097
136,2015-01-31,recovery,"CSX,AMAT,KDP,AVGO","0.280,0.168,0.349,0.203",22.75050607330287,23.140368851375207,exited,2015-07-31,23.140368851375207,1.7136444209908452
137,2015-02-28,recovery,"NVDA,COL,GME,CSX","0.264,0.054,0.282,0.400",31.5051294666967,30.946554240486172,exited,2015-08-31,30.946554240486172,-1.7729659762261374
138,2015-03-31,recovery,"COL,NVDA,CSX,GME","0.059,0.272,0.390,0.279",11.340306571647714,11.230675613367577,exited,2015-09-30,11.230675613367577,-0.9667371652388068
139,2015-04-30,recovery,"NVDA,AVGO,MPC,DAL","0.271,0.225,0.252,0.252",101.00670355185304,115.42634778351723,exited,2015-10-30,115.42634778351723,14.275927957852508
140,2015-05-29,recovery,"NFLX,NVDA,COL,O","0.161,0.385,0.087,0.367",19.7540373199018,24.65642311320773,exited,2015-11-30,24.65642311320773,24.817133398684387
141,2015-06-30,recovery,"NFLX,NVDA,COL,GNW","0.238,0.400,0.129,0.233",858.5724007422609,980.4661487211674,exited,2015-12-31,980.4661487211674,14.19725906324567
142,2015-07-31,recovery,"NFLX,COL,NVDA,AVGO","0.205,0.129,0.400,0.266",24.140368851375207,27.085931734888693,exited,2016-01-29,27.085931734888693,12.201813906193415
143,2015-08-31,normal,"COL,TGNA,O,NFLX","0.173,0.333,0.331,0.163",31.946554240486172,32.25415986924019,exited,2016-02-29,32.25415986924019,0.9628757656880094
144,2015-09-30,normal,"NFLX,GME,TGNA,WU","0.144,0.321,0.238,0.298",12.230675613367577,11.78732457297967,exited,2016-03-31,11.78732457297967,-3.624910466134379
145,2015-10-30,recovery,"NVDA,GNW,COL,WU","0.326,0.163,0.165,0.345",116.42634778351723,116.2430335416091,exited,2016-04-29,116.2430335416091,-0.1574508222563109
146,2015-11-30,recovery,"NVDA,COL,GME,WU","0.263,0.148,0.282,0.307",25.65642311320773,26.002909461097232,exited,2016-05-31,26.002909461097232,1.3504857881422083
147,2015-12-31,normal,"NVDA,M,GME,HST","0.224,0.227,0.191,0.358",981.4661487211674,1096.0764293174577,exited,2016-06-30,1096.0764293174577,11.677456297970679
148,2016-01-29,normal,"NVDA,FCX,NFLX,COL","0.376,0.144,0.211,0.269",28.085931734888693,42.92558387404161,exited,2016-07-29,42.92558387404161,52.8366026067026
149,2016-02-29,normal,"NVDA,MU,LRCX,TGNA","0.282,0.215,0.278,0.225",33.25415986924019,47.544533592269815,exited,2016-08-31,47.544533592269815,42.97319126154828
150,2016-03-31,recovery,"COL,NVDA,WMB,MU","0.236,0.320,0.205,0.239",12.78732457297967,20.38388904110776,exited,2016-09-30,20.38388904110776,59.40698873148222
151,2016-04-29,recovery,"NVDA,COL,KMI,MU","0.306,0.252,0.209,0.232",117.2430335416091,155.88799472288227,exited,2016-10-31,155.88799472288227,32.961413581608
152,2016-05-31,recovery,"NVDA,COL,TGNA,CMG","0.301,0.196,0.260,0.244",27.002909461097232,33.11832459143848,exited,2016-11-30,33.11832459143848,22.647245250189265
153,2016-06-30,recovery,"COL,NVDA,CMG,IRM","0.176,0.242,0.254,0.328",1097.0764293174577,1295.4114158739217,exited,2016-12-30,1295.4114158739217,18.078502213365155
154,2016-07-29,recovery,"NVDA,COL,EXR,NI","0.193,0.129,0.280,0.398",43.92558387404161,45.86451604065869,exited,2017-01-31,45.86451604065869,4.414129524554644
155,2016-08-31,recovery,"NVDA,AVGO,FCX,WEC","0.199,0.329,0.072,0.400",48.544533592269815,59.6718376718476,exited,2017-02-28,59.6718376718476,22.921847747136837
156,2016-09-30,recovery,"NVDA,MNST,LKQ,URBN","0.193,0.311,0.335,0.161",21.38388904110776,21.108441350142943,exited,2017-03-31,21.108441350142943,-1.2881084934330933
157,2016-10-31,recovery,"NVDA,COL,MNST,F","0.199,0.134,0.315,0.352",156.88799472288227,165.72634451278304,exited,2017-04-28,165.72634451278304,5.633541180453183
158,2016-11-30,recovery,"NVDA,LKQ,NAVI,LRCX","0.187,0.305,0.174,0.334",34.11832459143848,41.84309931357046,exited,2017-05-31,41.84309931357046,22.64113145834368
159,2016-12-30,recovery,"NVDA,COL,NAVI,RF","0.285,0.187,0.238,0.290",1296.4114158739217,1400.4503532816875,exited,2017-06-30,1400.4503532816875,8.02514820016702
160,2017-01-31,recovery,"NVDA,NAVI,MO,AVGO","0.159,0.131,0.400,0.310",46.86451604065869,52.71795301657791,exited,2017-07-31,52.71795301657791,12.490125729327705
161,2017-02-28,recovery,"NVDA,COL,TSCO,CAG","0.224,0.124,0.251,0.400",60.6718376718476,60.62295823704798,exited,2017-08-31,60.62295823704798,-0.0805636299727519
